Test ID,Requirement ID,Business Requirement,Module,Priority,Automation Status,Automated Test Reference,Platform,Result,Tester,Date,OS Tested,Build Version,Defect ID,Notes
PUR-07,REQ-PUR-07,Submit multi-item purchase transaction,Purchases,P0,Partial,src/app/api/purchases/transactions/__tests__/route.test.ts,"Web, Desktop",,,,,,,
PUR-08,REQ-PUR-08,Attach service fee to purchase,Purchases,P1,Partial,src/app/api/servicefees/__tests__/route.test.ts,"Web, Desktop",,,,,,,
PUR-09,REQ-PUR-09,Generate purchase slip PDF,Purchases,P1,Partial,src/components/purchases/utils/__tests__/slipGenerator.test.ts,"Web, Desktop",,,,,,,
PUR-10,REQ-PUR-10,Respect slip paper size setting,Purchases,P2,Not Started,,"Web, Desktop",,,,,,,
PUR-11,REQ-STK-01,Purchase increases stock,Purchases / Stock,P0,Not Started,,"Web, Desktop",,,,,,,
PUR-12,REQ-PUR-11,Validate required purchase fields,Purchases,P0,Not Started,,"Web, Desktop",,,,,,,
PUR-13,REQ-PUR-12,Support dry rubber and scrap product types,Purchases,P1,Not Started,,"Web, Desktop",,,,,,,
PLST-01,REQ-PUR-13,View purchase history list,Purchase History,P1,Not Started,,"Web, Desktop",,,,,,,
PLST-02,REQ-PUR-14,Filter purchases by date/member,Purchase History,P1,Not Started,,"Web, Desktop",,,,,,,
PLST-03,REQ-PUR-15,Admin edit/delete purchase history,Purchase History,P2,Not Started,,"Web, Desktop",,,,,,,
PLST-04,REQ-PUR-16,Group multi-item transactions,Purchase History,P1,Not Started,,"Web, Desktop",,,,,,,
MEM-01,REQ-MEM-01,Create member with auto code,Members,P0,Automated,tests/e2e/members/member-crud.spec.ts,"Web, Desktop",,,,,,,
MEM-02,REQ-MEM-02,Edit member details,Members,P0,Automated,tests/e2e/members/member-crud.spec.ts,"Web, Desktop",,,,,,,
MEM-03,REQ-MEM-03,Delete member,Members,P0,Automated,tests/e2e/members/member-crud.spec.ts,"Web, Desktop",,,,,,,
MEM-04,REQ-MEM-04,Search members by name/code,Members,P1,Automated,tests/e2e/members/member-crud.spec.ts,"Web, Desktop",,,,,,,
MEM-05,REQ-MEM-05,Configure owner/tapper split %,Members,P0,Partial,src/lib/__tests__/memberUtils.test.ts,"Web, Desktop",,,,,,,
MEM-06,REQ-MEM-06,Track advance balance,Members,P1,Not Started,,"Web, Desktop",,,,,,,
MEM-07,REQ-MEM-07,View member purchase history,Members,P1,Not Started,,"Web, Desktop",,,,,,,
SAL-01,REQ-SAL-01,Create sale with correct total,Sales,P0,Automated,tests/e2e/sales/sales-crud.spec.ts,"Web, Desktop",,,,,,,
SAL-02,REQ-SAL-02,Sale decreases stock,Sales / Stock,P0,Not Started,,"Web, Desktop",,,,,,,
SAL-03,REQ-SAL-03,Edit sale recalculates total,Sales,P1,Automated,tests/e2e/sales/sales-crud.spec.ts,"Web, Desktop",,,,,,,
SAL-04,REQ-SAL-04,Delete sale reverses stock,Sales / Stock,P1,Not Started,,"Web, Desktop",,,,,,,
SAL-05,REQ-SAL-05,Sale expense cost affects profit,Sales,P2,Not Started,,"Web, Desktop",,,,,,,
SAL-06,REQ-SAL-06,Sale form shows live total preview,Sales,P1,Automated,tests/e2e/sales/sales-crud.spec.ts,"Web, Desktop",,,,,,,
STK-01,REQ-STK-02,View stock by product type,Stock,P1,Not Started,,"Web, Desktop",,,,,,,
STK-02,REQ-STK-03,View stock ledger detail,Stock,P1,Not Started,,"Web, Desktop",,,,,,,
STK-03,REQ-STK-04,Stock increases on purchase,Stock,P0,Not Started,,"Web, Desktop",,,,,,,
STK-04,REQ-STK-05,Stock decreases on sale,Stock,P0,Not Started,,"Web, Desktop",,,,,,,
STK-05,REQ-STK-06,Prevent or warn on negative stock,Stock,P1,Not Started,,"Web, Desktop",,,,,,,
STK-06,REQ-STK-07,Maintain average cost per kg,Stock,P1,Not Started,,"Web, Desktop",,,,,,,
EXP-01,REQ-EXP-01,Record daily expense,Expenses,P1,Automated,tests/e2e/expenses/expense-flow.spec.ts,"Web, Desktop",,,,,,,
EXP-02,REQ-EXP-02,Today's expense summary updates,Expenses,P1,Automated,tests/e2e/expenses/expense-flow.spec.ts,"Web, Desktop",,,,,,,
EXP-03,REQ-EXP-03,Delete expense,Expenses,P1,Automated,tests/e2e/expenses/expense-flow.spec.ts,"Web, Desktop",,,,,,,
EXP-04,REQ-EXP-04,Expense categories available,Expenses,P2,Automated,tests/e2e/expenses/expense-flow.spec.ts,"Web, Desktop",,,,,,,
RPT-01,REQ-RPT-01,Filter reports by date range,Reports,P1,Automated,tests/e2e/reports/report-generate.spec.ts,"Web, Desktop",,,,,,,
RPT-02,REQ-RPT-02,Purchase report totals accurate,Reports,P1,Manual,,"Web, Desktop",,,,,,,
RPT-03,REQ-RPT-03,Export report as PDF,Reports,P1,Partial,tests/e2e/reports/report-generate.spec.ts,"Web, Desktop",,,,,,,
RPT-04,REQ-RPT-04,Profit/loss report accurate,Reports,P1,Partial,src/app/api/reports/profit-loss/__tests__/route.test.ts,"Web, Desktop",,,,,,,
RPT-05,REQ-RPT-05,Empty report range handled,Reports,P2,Not Started,,"Web, Desktop",,,,,,,
ADM-01,REQ-ADM-01,Admin manages users (CRUD),Admin,P1,Automated,tests/e2e/admin/user-management.spec.ts,"Web, Desktop",,,,,,,
ADM-02,REQ-ADM-02,Assign user roles,Admin,P1,Automated,tests/e2e/admin/user-management.spec.ts,"Web, Desktop",,,,,,,
ADM-03,REQ-ADM-03,Persist system settings,Admin,P1,Not Started,,"Web, Desktop",,,,,,,
ADM-04,REQ-ADM-04,Configure slip paper size,Admin,P2,Not Started,,"Web, Desktop",,,,,,,
BKP-01,REQ-BKP-01,Backup page restricted to Electron admin,Backup,P0,Partial,src/app/(authenticated)/backup/__tests__/page.test.tsx,Desktop,,,,,,,
BKP-02,REQ-BKP-02,Create manual database backup,Backup,P0,Partial,src/app/api/backup/__tests__/route.test.ts,Desktop,,,,,,,
BKP-03,REQ-BKP-03,Download backup file,Backup,P1,Partial,src/app/api/backup/[id]/download/__tests__/route.test.ts,Desktop,,,,,,,
BKP-04,REQ-BKP-04,Restore from backup with safety copy,Backup,P0,Partial,src/app/api/backup/__tests__/route.test.ts,Desktop,,,,,,,
BKP-05,REQ-BKP-05,Restored data visible after restart,Backup,P0,Manual,,Desktop,,,,,,,
BKP-06,REQ-BKP-06,Delete backup file,Backup,P1,Partial,src/app/api/backup/__tests__/route.test.ts,Desktop,,,,,,,
BKP-07,REQ-BKP-07,Backup works on SQLite only,Backup,P1,Partial,src/app/api/backup/__tests__/route.test.ts,Desktop,,,,,,,
BKP-08,REQ-BKP-08,Corrupt backup handled safely,Backup,P1,Manual,,Desktop,,,,,,,
UI-01,REQ-UI-01,Dark mode persists,UI/UX,P2,Partial,src/contexts/__tests__/DarkModeContext.test.tsx,"Web, Desktop",,,,,,,
UI-02,REQ-UI-02,Sidebar navigation works,UI/UX,P2,Not Started,,"Web, Desktop",,,,,,,
UI-03,REQ-UI-03,Electron-only nav items hidden on web,UI/UX,P2,Partial,src/contexts/__tests__/AppModeContext.test.tsx,"Web, Desktop",,,,,,,
UI-04,REQ-UI-04,Thai text renders correctly,UI/UX,P2,Manual,,"Web, Desktop",,,,,,,
UI-05,REQ-UI-05,Layout usable at minimum window size,UI/UX,P2,Manual,,Desktop,,,,,,,
UI-06,REQ-UI-06,App mode switcher in Electron,UI/UX,P2,Partial,src/contexts/__tests__/AppModeContext.test.tsx,Desktop,,,,,,,
ELEC-01,REQ-ELEC-01,Embedded Next.js server starts in production,Electron,P0,Manual,,"Win, Mac",,,,,,,
ELEC-02,REQ-ELEC-02,Per-user database isolation,Electron,P1,Manual,,"Win, Mac",,,,,,,
ELEC-03,REQ-ELEC-03,Debug logs written on errors,Electron,P2,Manual,,"Win, Mac",,,,,,,
ELEC-04,REQ-ELEC-04,Renderer context isolation enforced,Electron,P1,Manual,,"Win, Mac",,,,,,,
ELEC-05,REQ-ELEC-05,Stable long-running sessions,Electron,P2,Manual,,"Win, Mac",,,,,,,
ELEC-06,REQ-ELEC-06,DB survives force quit,Electron,P1,Manual,,"Win, Mac",,,,,,,
ELEC-07,REQ-ELEC-07,Backup fails safely when disk full,Electron,P2,Manual,,"Win, Mac",,,,,,,
ELEC-08,REQ-ELEC-08,Antivirus does not block app,Electron,P2,Manual,,Win,,,,,,,
SEC-01,REQ-SEC-01,Passwords stored hashed,Security,P0,Partial,src/lib/__tests__/auth.test.ts,"Web, Desktop",,,,,,,
SEC-02,REQ-SEC-02,JWT expiry enforced,Security,P0,Partial,src/lib/__tests__/auth.test.ts,"Web, Desktop",,,,,,,
SEC-03,REQ-SEC-03,APIs require authentication,Security,P0,Partial,src/app/api/auth/login/__tests__/route.test.ts,"Web, Desktop",,,,,,,
SEC-04,REQ-SEC-04,Viewer cannot perform write operations,Security,P0,Automated,tests/e2e/admin/user-management.spec.ts,"Web, Desktop",,,,,,,
SEC-05,REQ-SEC-05,Input sanitized via ORM,Security,P1,Manual,,"Web, Desktop",,,,,,,
SEC-06,REQ-SEC-06,Backup access admin-only,Security,P0,Partial,src/app/api/backup/__tests__/route.test.ts,Desktop,,,,,,,
